entry_time,exit_time,direction,entry_price,exit_price,sl,tp,size,pnl,duration_bars,exit_reason,win
2024-01-22 08:30:00+00:00,2024-01-24 10:30:00+00:00,long,2025.12097,2029.93878,2001.87915,2058.68111,179998.54,392.2209,576,timeout,True
2024-01-31 07:15:00+00:00,2024-02-05 08:15:00+00:00,long,2036.71117,2023.77905,2012.79107,2071.22973,180705.17,-1183.5306,576,timeout,False
2024-02-14 07:10:00+00:00,2024-02-16 09:10:00+00:00,short,1990.00965,2004.3406,2014.58496,1954.61262,178571.81,-1321.6896,576,timeout,False
2024-02-19 17:35:00+00:00,2024-02-21 23:05:00+00:00,long,2017.73106,2026.18238,1998.17295,2045.99913,176179.91,702.6979,576,timeout,True
2024-02-22 07:35:00+00:00,2024-03-01 11:00:00+00:00,long,2030.81123,2054.98966,2014.10594,2055.0162,177460.83,2077.3204,329,tp,True
2024-03-01 11:10:00+00:00,2024-03-01 18:15:00+00:00,long,2055.42155,2086.02262,2034.24483,2086.05967,181199.96,2661.4608,85,tp,True
2024-03-01 18:20:00+00:00,2024-03-04 00:00:00+00:00,long,2087.10196,2082.79783,2059.43269,2127.22582,185507.57,-419.6652,56,signal,False
2024-03-12 17:50:00+00:00,2024-03-14 00:00:00+00:00,short,2157.28713,2174.82103,2191.87482,2107.25728,185231.79,-1542.5648,338,signal,False
2024-03-25 19:10:00+00:00,2024-03-26 00:00:00+00:00,short,2171.78695,2172.66464,2205.4374,2123.26339,182383.25,-110.1839,46,signal,False
2024-03-27 08:15:00+00:00,2024-03-28 20:45:00+00:00,long,2181.21318,2231.63824,2146.5447,2231.67788,182258.84,4176.9898,426,tp,True
2024-03-28 20:50:00+00:00,2024-04-01 00:00:00+00:00,long,2229.4246,2244.83619,2192.98439,2282.13609,151692.05,1018.2802,26,signal,True
2024-04-11 08:20:00+00:00,2024-04-11 22:20:00+00:00,short,2331.44788,2378.10626,2378.01219,2264.05919,191612.09,-3872.9824,156,sl,False
2024-04-15 08:35:00+00:00,2024-04-23 08:35:00+00:00,short,2345.9447,2305.03778,2406.64061,2257.79821,184641.04,3182.7113,576,timeout,True
2024-04-23 09:15:00+00:00,2024-04-25 11:15:00+00:00,short,2297.0572,2329.34637,2353.1201,2215.89126,190369.92,-2714.0575,576,timeout,False
2024-04-29 08:25:00+00:00,2024-04-30 14:30:00+00:00,long,2338.2252,2298.54716,2298.57686,2395.56205,156542.14,-2687.7187,349,sl,False
2024-05-02 08:15:00+00:00,2024-05-02 16:00:00+00:00,short,2307.39519,2298.67469,2349.83606,2246.05762,178941.45,640.4977,93,signal,True
2024-05-06 12:45:00+00:00,2024-05-08 14:45:00+00:00,long,2324.63629,2315.74509,2281.05055,2387.38514,181722.57,-731.3918,576,timeout,False
2024-05-08 16:00:00+00:00,2024-05-10 08:00:00+00:00,long,2320.29497,2367.66442,2283.03834,2374.23824,180480.24,3648.4564,456,signal,True
2024-05-15 07:10:00+00:00,2024-05-17 09:10:00+00:00,long,2361.4555,2383.89266,2329.13768,2408.18793,187049.99,1739.8283,576,timeout,True
2024-05-17 11:25:00+00:00,2024-05-20 01:00:00+00:00,long,2387.84584,2435.05881,2355.21911,2435.15514,190011.94,3718.9515,151,tp,True
2024-05-22 14:10:00+00:00,2024-05-23 17:25:00+00:00,short,2399.83537,2335.58058,2444.29973,2335.53909,196437.36,5220.2578,315,tp,True
2024-05-23 17:30:00+00:00,2024-05-27 23:00:00+00:00,short,2336.06651,2351.38954,2385.35154,2264.65569,206272.6,-1394.2651,576,timeout,False
2024-05-30 11:00:00+00:00,2024-06-03 13:00:00+00:00,long,2340.58657,2332.88656,2308.09207,2387.59702,203761.1,-711.0809,576,timeout,False
2024-06-06 13:35:00+00:00,2024-06-07 04:00:00+00:00,long,2365.25555,2379.35969,2327.5177,2419.82895,200708.58,1156.6932,161,signal,True
2024-06-07 20:15:00+00:00,2024-06-11 23:15:00+00:00,short,2286.82438,2315.36855,2335.33412,2216.59917,204565.02,-2594.2965,576,timeout,False
2024-06-13 07:20:00+00:00,2024-06-17 09:20:00+00:00,long,2316.76493,2321.28501,2279.49376,2370.5089,198081.06,346.8467,576,timeout,True
2024-06-18 12:20:00+00:00,2024-06-20 14:45:00+00:00,long,2314.54611,2361.99805,2281.69305,2362.02856,200519.02,4070.8608,551,tp,True
2024-06-20 14:50:00+00:00,2024-06-21 14:25:00+00:00,long,2362.13451,2329.78979,2329.83118,2408.79936,207846.93,-2887.6183,271,sl,False
2024-06-25 12:50:00+00:00,2024-06-25 16:00:00+00:00,short,2325.05497,2324.43803,2357.43206,2278.12033,160349.65,10.4779,38,signal,True
2024-06-28 07:50:00+00:00,2024-07-09 14:00:00+00:00,long,2328.46508,2371.11789,2298.93273,2371.16,202659.57,3671.7849,326,tp,True
2024-07-11 08:15:00+00:00,2024-07-11 15:20:00+00:00,long,2383.18733,2422.73259,2355.88648,2422.76388,209276.51,3430.7602,85,tp,True
2024-07-11 15:25:00+00:00,2024-07-11 16:00:00+00:00,long,2421.42628,2418.47376,2385.81465,2473.22631,214945.83,-305.0792,7,signal,False
2024-07-12 16:25:00+00:00,2024-07-19 00:00:00+00:00,long,2414.64619,2431.07882,2380.08294,2464.73046,197113.22,1302.0115,55,signal,True
2024-07-19 10:10:00+00:00,2024-07-23 12:10:00+00:00,short,2411.93384,2407.7161,2453.83125,2351.46101,217247.37,336.4504,576,timeout,True
2024-07-30 07:10:00+00:00,2024-07-31 12:00:00+00:00,long,2391.33747,2419.13375,2354.44607,2444.20612,217846.57,2488.6218,334,signal,True
2024-08-05 12:25:00+00:00,2024-08-07 14:25:00+00:00,short,2369.63439,2401.56602,2441.65423,2265.46257,222332.5,-3040.4729,576,timeout,False
2024-08-07 17:30:00+00:00,2024-08-09 19:30:00+00:00,short,2391.8241,2428.59937,2445.59796,2313.84488,216859.65,-3377.6772,576,timeout,False
2024-08-16 17:25:00+00:00,2024-08-19 00:00:00+00:00,long,2497.89237,2505.35588,2454.83772,2560.24829,203176.37,566.4407,67,signal,True
2024-08-26 07:05:00+00:00,2024-08-28 09:05:00+00:00,long,2515.9575,2509.21259,2480.83202,2566.80471,211798.44,-610.1602,576,timeout,False
2024-08-29 15:10:00+00:00,2024-09-02 17:10:00+00:00,long,2524.47761,2500.40359,2488.49001,2576.5745,210700.82,-2051.4335,576,timeout,False
2024-09-05 12:25:00+00:00,2024-09-09 14:25:00+00:00,long,2519.64275,2499.57571,2484.16483,2571.01014,207006.15,-1690.048,576,timeout,False
2024-09-10 10:20:00+00:00,2024-09-12 12:20:00+00:00,long,2508.6274,2522.60241,2479.84608,2550.30126,203966.16,1095.4571,576,timeout,True
2024-09-12 12:25:00+00:00,2024-09-13 04:00:00+00:00,long,2522.64981,2567.56452,2488.73072,2571.79127,205931.63,3625.3393,175,signal,True
2024-09-30 07:50:00+00:00,2024-10-01 12:00:00+00:00,short,2652.99073,2651.7821,2693.344,2594.7398,181632.36,46.4203,326,signal,True
2024-10-04 11:50:00+00:00,2024-10-08 14:25:00+00:00,long,2661.46238,2627.72557,2627.77225,2710.31459,212547.1,-2736.7653,559,sl,False
2024-10-15 07:30:00+00:00,2024-10-17 09:30:00+00:00,long,2651.98926,2678.61742,2615.61689,2704.63998,207610.91,2043.063,576,timeout,True
2024-10-17 10:20:00+00:00,2024-10-21 09:05:00+00:00,long,2684.61968,2733.43757,2650.85671,2733.48612,211298.43,3800.0513,537,tp,True
2024-10-21 09:10:00+00:00,2024-10-23 11:10:00+00:00,long,2733.39031,2751.41613,2700.63556,2780.74444,218129.54,1394.8676,576,timeout,True
2024-10-29 13:50:00+00:00,2024-11-01 00:00:00+00:00,long,2762.80069,2746.89633,2725.50117,2816.87297,220649.35,-1314.3216,386,signal,False
2024-11-01 07:15:00+00:00,2024-11-04 20:00:00+00:00,short,2750.18947,2737.13362,2786.80134,2697.19462,218282.24,992.5856,417,signal,True
2024-11-11 09:20:00+00:00,2024-11-12 07:35:00+00:00,short,2667.15055,2599.43367,2713.94659,2599.3875,218984.97,5516.061,255,tp,True
2024-11-12 07:40:00+00:00,2024-11-14 09:40:00+00:00,short,2597.51145,2543.55786,2648.19832,2524.10505,229999.43,4731.3785,576,timeout,True
2024-11-26 07:30:00+00:00,2024-11-28 09:30:00+00:00,short,2615.90854,2646.07918,2682.73842,2519.17775,238515.92,-2798.6322,576,timeout,False
2024-12-02 11:15:00+00:00,2024-12-04 13:15:00+00:00,long,2639.82189,2638.81813,2593.03361,2707.54321,233474.29,-135.4704,576,timeout,False
2024-12-04 13:55:00+00:00,2024-12-06 15:55:00+00:00,long,2647.9292,2637.42093,2605.95643,2708.69982,233233.38,-972.2304,576,timeout,False
2024-12-16 15:15:00+00:00,2024-12-17 12:00:00+00:00,short,2652.86373,2642.14913,2693.11134,2594.56266,231484.51,888.6415,237,signal,True
2024-12-19 12:20:00+00:00,2024-12-24 08:00:00+00:00,short,2613.37124,2617.88882,2663.16485,2541.26045,233068.71,-449.5054,500,signal,False
2024-12-24 16:35:00+00:00,2024-12-29 23:55:00+00:00,long,2617.07881,2623.67598,2583.17001,2666.28131,226012.05,524.5322,576,timeout,True
2025-01-02 09:05:00+00:00,2025-01-06 11:05:00+00:00,long,2638.20808,2633.36398,2607.31083,2683.0681,233217.0,-474.8604,576,timeout,False
2025-01-07 11:05:00+00:00,2025-01-09 13:05:00+00:00,long,2645.34198,2673.39947,2610.48228,2695.65324,232363.5,2418.061,576,timeout,True
2025-01-09 13:25:00+00:00,2025-01-14 15:25:00+00:00,long,2675.15956,2670.8205,2639.90238,2726.14368,236716.42,-431.2928,576,timeout,False
2025-01-16 08:20:00+00:00,2025-01-21 11:20:00+00:00,long,2701.6999,2717.17674,2667.61091,2751.06298,235940.19,1304.4085,576,timeout,True
2025-01-21 12:25:00+00:00,2025-01-23 14:25:00+00:00,long,2725.43321,2744.70954,2688.77668,2778.49359,238287.86,1637.6956,576,timeout,True
2025-01-24 11:35:00+00:00,2025-01-27 12:00:00+00:00,long,2778.86436,2771.4292,2744.52277,2828.60724,241235.95,-693.7005,281,signal,False
2025-01-28 08:15:00+00:00,2025-01-28 20:00:00+00:00,short,2737.79963,2764.69071,2774.60677,2684.54578,239814.27,-2403.4546,141,signal,False
2025-01-30 12:40:00+00:00,2025-02-03 14:40:00+00:00,long,2779.58391,2818.33494,2745.76368,2828.74348,235608.95,3237.5751,576,timeout,True
2025-02-03 14:50:00+00:00,2025-02-05 08:00:00+00:00,long,2826.05519,2865.08411,2781.23482,2890.91524,241391.2,3285.4277,470,signal,True
2025-02-07 14:25:00+00:00,2025-02-11 02:10:00+00:00,long,2871.46509,2940.43824,2823.74972,2940.55457,237948.33,5667.9754,405,tp,True
2025-02-13 12:15:00+00:00,2025-02-14 16:00:00+00:00,long,2919.33685,2901.05752,2870.20147,2990.47348,257601.3,-1664.4819,321,signal,False
2025-02-18 16:45:00+00:00,2025-02-20 18:45:00+00:00,long,2930.87286,2941.22701,2887.7978,2993.15919,254600.39,848.5286,576,timeout,True
2025-02-24 18:20:00+00:00,2025-02-25 15:30:00+00:00,long,2945.60305,2900.86231,2900.91383,3010.3027,256125.24,-3941.5093,242,sl,False
2025-02-28 08:20:00+00:00,2025-03-04 08:10:00+00:00,short,2854.26813,2901.94188,2901.89034,2785.31317,249041.62,-4209.4559,550,sl,False
2025-03-06 14:50:00+00:00,2025-03-12 17:50:00+00:00,long,2914.33265,2937.29583,2863.04279,2988.52975,224532.21,1724.2718,576,timeout,True
2025-03-13 09:20:00+00:00,2025-03-13 16:00:00+00:00,long,2945.02731,2977.17654,2903.68969,3004.8327,243473.63,2609.1721,80,signal,True
2025-03-18 07:15:00+00:00,2025-03-21 04:00:00+00:00,long,3018.03399,3030.06482,2978.94138,3074.78856,249257.67,943.7683,237,signal,True
2025-03-27 08:10:00+00:00,2025-03-28 04:00:00+00:00,long,3037.30423,3074.02062,2997.383,3094.96561,250963.19,2983.5701,226,signal,True
2025-04-04 08:05:00+00:00,2025-04-07 17:00:00+00:00,short,3090.84507,2966.19953,3177.02132,2966.14685,256334.18,10286.007,383,tp,True
2025-04-07 17:05:00+00:00,2025-04-09 14:15:00+00:00,short,2966.26031,3079.57922,3079.52452,2802.05027,274848.99,-10554.9202,518,sl,False
2025-04-23 13:00:00+00:00,2025-04-25 15:00:00+00:00,short,3310.48224,3279.82737,3441.48744,3120.79551,255850.13,2317.987,576,timeout,True
2025-04-28 07:05:00+00:00,2025-04-30 09:10:00+00:00,short,3280.13674,3284.71743,3388.83323,3122.1954,260022.51,-415.1244,576,timeout,False
2025-04-30 19:25:00+00:00,2025-05-04 22:25:00+00:00,short,3300.07237,3239.99317,3391.08368,3167.95416,259275.29,4668.3602,576,timeout,True
2025-05-09 14:15:00+00:00,2025-05-13 16:15:00+00:00,short,3321.516,3255.54705,3418.44098,3181.08442,267678.33,5262.8496,576,timeout,True
2025-05-14 11:55:00+00:00,2025-05-16 13:55:00+00:00,short,3225.50771,3180.25608,3306.10425,3108.8438,277151.46,3832.8118,576,timeout,True
2025-05-28 11:15:00+00:00,2025-05-30 13:15:00+00:00,short,3309.48922,3298.13358,3374.62446,3214.95161,284050.52,917.8342,576,timeout,True
2025-05-30 13:55:00+00:00,2025-05-30 16:00:00+00:00,short,3280.84673,3289.7905,3351.40817,3178.791,255256.55,-746.8948,25,signal,False
2025-06-06 14:00:00+00:00,2025-06-10 16:00:00+00:00,short,3342.89182,3327.10798,3415.10497,3238.27454,284170.91,1284.9108,576,signal,True
2025-06-11 20:30:00+00:00,2025-06-12 00:00:00+00:00,long,3352.72831,3363.18268,3286.2509,3448.91414,185190.77,540.4178,30,signal,True
2025-06-17 14:35:00+00:00,2025-06-19 16:35:00+00:00,short,3375.43805,3368.66851,3447.5262,3271.06759,287643.81,519.3486,576,timeout,True
2025-06-30 09:10:00+00:00,2025-07-01 10:00:00+00:00,short,3281.43561,3342.19781,3342.13845,3193.55368,288577.41,-5401.2905,238,sl,False
